width,height,position.x,position.y,color_r,color_g,color_b,color_a,type_oval,type_rectangle,type_shapePath,type_symbolInstance,type_text,type_bitmap,type_triangle,type_slice,type_group,type_polygon,type_star,Cluster
0.13136729222520108,0.1294642857142857,0.8579387186629527,0.6466165413533834,0.29803923,0.8509804,0.39215687,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.13136729222520108,0.1294642857142857,0.8579387186629527,0.949874686716792,0.29803923,0.8509804,0.39215687,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.16353887399463807,0.7750000000000001,0.04456824512534819,0.16624685138539042,0.84705883,0.84705883,0.84705883,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.07506702412868632,0.3625,0.04178272980501393,0.3060453400503778,0.9411765,0.6,0.21568628,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.07506702412868632,0.3625,0.04178272980501393,0.6297229219143576,0.91764706,0.3019608,0.23921569,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.07506702412868632,0.3625,0.04456824512534819,0.6863979848866498,0.91764706,0.26666668,0.34901962,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,0.5316205533596837,0.0,0.0,0.87058824,0.74509805,0.41568628,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,0.2509881422924901,0.0,0.0,0.8666667,0.34901962,0.3019608,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.05488621151271753,0.08498023715415019,0.9157608695652174,0.04326587578506629,0.0,0.6666667,0.93333334,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.7134986225895317,0.0,0.2392638036809816,0.7518796992481203,0.17254902,0.16078432,0.22352941,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.33333333333333337,0.03580246913580247,0.0,0.5513784461152882,0.17254902,0.16078432,0.22352941,0.5019608,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,0.9106753812636166,0.0,0.0,0.84705883,0.84705883,0.84705883,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,0.2069716775599129,0.0,0.975552050473186,1.0,0.27450982,0.0,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.05080213903743316,0.0392156862745098,0.042876901798063624,0.44558359621451105,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1
